"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_fixation","clock_backend","color_backend","correct","correct_welcome","count_end_sketchpad","count_experiment","count_fix_sketchpad","count_fixation","count_fixation_inline_script","count_fixation_pygaze_log","count_fixation_script","count_fixation_sketchpad","count_fixationstimulus_pygaze_log","count_getting_started","count_image_loop","count_image_stimulus","count_initial_fixation","count_logger","count_new_1_inline_script","count_new_1_loop","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_inline_script","count_new_2_loop","count_new_2_pygaze_log","count_new_3_inline_script","count_new_3_loop","count_new_4_inline_script","count_new_4_loop","count_new_inline_script","count_new_loop","count_new_sequence","count_position_loop","count_pygaze_init","count_pygaze_start_recording","count_pygaze_stop_recording","count_shuffle_to_csv","count_start_pygaze_log","count_stop_pygaze_log","count_welcome","d","datetime","description","disable_garbage_collection","experiment_file","experiment_path","file_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i","keyboard_backend","live_row","live_row_position_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","picture1","picture2","repeat_cycle","response","response_end_sketchpad","response_time","response_time_end_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","stimulus1","stimulus2","subject_nr","subject_parity","t0","time_end_sketchpad","time_experiment","time_fix_sketchpad","time_fixation","time_fixation_inline_script","time_fixation_pygaze_log","time_fixation_script","time_fixation_sketchpad","time_fixationstimulus_pygaze_log","time_getting_started","time_image_loop","time_image_stimulus","time_initial_fixation","time_logger","time_new_1_inline_script","time_new_1_loop","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_inline_script","time_new_2_loop","time_new_2_pygaze_log","time_new_3_inline_script","time_new_3_loop","time_new_4_inline_script","time_new_4_loop","time_new_inline_script","time_new_loop","time_new_sequence","time_position_loop","time_pygaze_init","time_pygaze_start_recording","time_pygaze_stop_recording","time_shuffle_to_csv","time_start_pygaze_log","time_stop_pygaze_log","time_welcome","title","total_correct","total_response_time","total_responses","width","x1_cor","x2_cor","y1_cor","y2_cor"
"undefined","undefined","undefined","undefined","#3d3846","legacy","False","legacy","legacy","undefined","undefined","0","0","0","0","NA","0","0","NA","0","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","88.601818029203","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","0","0","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","005.png","016.png","0","even","3992796.0","NA","3918416","4003309","3997799","NA","4003282","3992796","NA","3997799","NA","NA","3998282","NA","4003442","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3992261","3992150","3936161","3989386","NA","3918450","3992274","4003409","3918458","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","1","1","NA","1","1","NA","1","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","0","0","0","0","0","1","1","0","28.939208583511725","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","1","1","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","000.png","008.png","0","even","4004037.0","NA","3918416","4010618","4005603","NA","4010610","4004037","NA","4005603","NA","NA","4005610","NA","4010722","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4003558","3992150","3936161","3989386","NA","3918450","4003560","4010718","3918458","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","2","2","NA","2","2","NA","2","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","0","0","0","2","2","0","26.79183756295939","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","2","2","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","007.png","010.png","0","even","4011276.0","NA","3918416","4018239","4013194","NA","4018229","4011276","NA","4013194","NA","NA","4013226","NA","4018343","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4010808","3992150","3936161","3989386","NA","3918450","4010810","4018339","3918458","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","3","3","NA","3","3","NA","3","NA","NA","3","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","0","0","0","0","0","3","3","0","26.223353552129804","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","3","3","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","001.png","001.png","0","even","4018906.0","NA","3918416","4025558","4020544","NA","4025552","4018906","NA","4020544","NA","NA","4020552","NA","4025662","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4018429","3992150","3936161","3989386","NA","3918450","4018432","4025658","3918458","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","4","4","NA","4","4","NA","4","NA","NA","4","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","0","0","0","0","0","4","4","0","24.564346455788343","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","4","4","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","021.png","003.png","0","even","4026223.0","NA","3918416","4032849","4027831","NA","4032841","4026223","NA","4027831","NA","NA","4027841","NA","4032953","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4025744","3992150","3936161","3989386","NA","3918450","4025745","4032949","3918458","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","5","5","NA","5","5","NA","5","NA","NA","5","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","0","0","0","0","0","5","5","0","23.151662540733437","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","5","5","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","019.png","021.png","0","even","4033496.0","NA","3918416","4040218","4035199","NA","4040208","4033496","NA","4035199","NA","NA","4035208","NA","4040322","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4033049","3992150","3936161","3989386","NA","3918450","4033054","4040318","3918458","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","6","6","NA","6","6","NA","6","NA","NA","6","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","0","0","0","0","0","6","6","0","24.438223176000253","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","6","6","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","014.png","013.png","0","even","4040885.0","NA","3918416","4047415","4042396","NA","4047404","4040885","NA","4042396","NA","NA","4042404","NA","4047519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4040409","3992150","3936161","3989386","NA","3918450","4040410","4047515","3918458","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","7","7","NA","7","7","NA","7","NA","NA","7","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","0","0","0","0","0","7","7","0","23.012335422551047","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","7","7","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","003.png","015.png","0","even","4048051.0","NA","3918416","4054674","4049642","NA","4054655","4048051","NA","4049642","NA","NA","4049655","NA","4054778","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4047615","3992150","3936161","3989386","NA","3918450","4047617","4054774","3918458","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","8","8","NA","8","8","NA","8","NA","NA","8","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","0","0","0","0","0","8","8","0","21.692674291566746","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","8","8","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","020.png","004.png","0","even","4055294.0","NA","3918416","4062125","4057112","NA","4062119","4055294","NA","4057112","NA","NA","4057119","NA","4062229","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4054859","3992150","3936161","3989386","NA","3918450","4054861","4062225","3918458","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","9","9","NA","9","9","NA","9","NA","NA","9","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","0","0","0","0","0","9","9","0","12.763585627871167","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","9","9","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","011.png","020.png","0","even","4062759.0","NA","3918416","4069499","4064479","NA","4069492","4062759","NA","4064479","NA","NA","4064492","NA","4069603","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4062309","3992150","3936161","3989386","NA","3918450","4062311","4069599","3918458","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","10","10","NA","10","10","NA","10","NA","NA","10","NA","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","0","0","0","0","0","10","10","0","10.214440601423055","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","10","10","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","006.png","006.png","0","even","4070133.0","NA","3918416","4076932","4071913","NA","4076924","4070133","NA","4071913","NA","NA","4071923","NA","4077036","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4069691","3992150","3936161","3989386","NA","3918450","4069695","4077032","3918458","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","11","11","NA","11","11","NA","11","NA","NA","11","NA","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11","0","0","0","0","0","11","11","0","4.133734389145032","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","11","11","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","004.png","005.png","0","even","4077566.0","NA","3918416","4084112","4079094","NA","4084105","4077566","NA","4079094","NA","NA","4079105","NA","4084217","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4077117","3992150","3936161","3989386","NA","3918450","4077119","4084212","3918458","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","12","12","NA","12","12","NA","12","NA","NA","12","NA","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12","0","0","0","0","0","12","12","0","11.293874764667782","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","12","12","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","002.png","018.png","0","even","4084761.0","NA","3918416","4091355","4086341","NA","4091349","4084761","NA","4086341","NA","NA","4086349","NA","4091459","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4084292","3992150","3936161","3989386","NA","3918450","4084294","4091455","3918458","Left-Bias-Elimination","0","0","0","1920","0","0","-320","320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","13","13","NA","13","13","NA","13","NA","NA","13","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13","0","0","0","0","0","13","13","0","18.242908544417975","Mon Jun 24 16:29:50 2024","The main experiment item","False","05 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone5_Final","C:\Users\yarbus\AppData\Local\Temp\tmpwlg83d_n.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","13","13","C:/Users/yarbus/Desktop/Team_Dog/Milestone5_Final/Datenerhebung/Enno.csv","legacy","Melodramatic Milgram","4.0.13","NA","NA","0","space","NA","17703.0","NA","17703","space","2","legacy","1024","2","48000","-16","experiment","NA","015.png","014.png","0","even","4092008.0","NA","3918416","4098598","4093580","NA","4098591","4092008","NA","4093580","NA","NA","4093591","NA","4098702","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4091549","3992150","3936161","3989386","NA","3918450","4091551","4098698","3918458","Left-Bias-Elimination","0","0","0","1920","-277","277","160","-160"
